trip_id,year,month,season,origin_country,destination_country,travel_purpose,traveler_type,num_travelers,duration_nights,transport_mode,accommodation_type,visa_type,booking_channel,advance_booking_days,budget_per_person_usd,total_trip_spend_usd,restaurant_spend_per_day_usd,attractions_visited,local_transport_used,travel_insurance,repeat_visitor,overall_satisfaction,trip_rating,safety_perception,language_barrier,wifi_satisfaction,would_recommend,social_media_shared,eco_friendly_choices,carbon_footprint_kg_co2,currency_satisfaction,health_safety_compliance
TRP0000001,2022,4,Autumn (Sep-Nov),China,USA,Business,Couple,2,6,Air,5-Star Hotel,Visa on Arrival,Travel Agent,63,2821.8,5643.6,24.46,2,Taxi/Ride-share,No,Yes,Dissatisfied,4,Safe,Moderate,Good,Maybe,Instagram,No,1234.3,Unfavorable,None
TRP0000002,2024,7,Spring (Mar-May),South Korea,Spain,Leisure/Tourism,Family,4,6,Rail,3-Star Hotel,Visa-Free,Travel Agent,19,4750.42,19001.68,29.46,7,Public Transport,No,Yes,Very Satisfied,4,Unsafe,Mild,Good,Maybe,Facebook,No,141.8,Very Unfavorable,None
TRP0000003,2022,9,Winter (Dec-Feb),Pakistan,USA,Leisure/Tourism,Group Tour,24,14,Air,3-Star Hotel,Visa on Arrival,Travel Agent,29,1823.49,43763.76,52.54,6,Rental Car,Yes,No,Neutral,5,Neutral,Moderate,Average,Maybe,Facebook,Yes,20410.1,Neutral,Full
TRP0000004,2019,7,Summer (Jun-Aug),Italy,Egypt,Leisure/Tourism,Solo,1,17,Air,4-Star Hotel,Embassy Visa,Direct Hotel/Airline,20,4474.59,4474.59,45.78,4,Taxi/Ride-share,No,Yes,Dissatisfied,2,Neutral,Moderate,Excellent,Definitely,Instagram,No,624.7,Unfavorable,Full
TRP0000005,2024,12,Spring (Mar-May),USA,New Zealand,Adventure/Sports,Solo,1,16,Cruise Ship,4-Star Hotel,Visa-Free,Mobile App,22,2546.87,2546.87,178.04,6,Taxi/Ride-share,No,Yes,Satisfied,5,Very Safe,Moderate,Good,Maybe,Instagram,Yes,263.4,Neutral,Full
TRP0000006,2019,10,Winter (Dec-Feb),UAE,Switzerland,Leisure/Tourism,Backpacker,1,5,Air,4-Star Hotel,Embassy Visa,Corporate Booking,10,3577.25,3577.25,106.18,5,Public Transport,Yes,No,Neutral,4,Unsafe,None,Excellent,Probably,Twitter/X,No,888.2,Favorable,Full
TRP0000007,2019,11,Spring (Mar-May),Mexico,Switzerland,Business,Couple,2,4,Road,Airbnb/Vacation Rental,Embassy Visa,Travel Agent,49,1266.75,2533.5,167.95,3,Public Transport,No,Yes,Very Satisfied,4,Unsafe,Severe,Good,Probably,Instagram,No,63.9,Neutral,Partial
TRP0000008,2024,2,Spring (Mar-May),Italy,UAE,Religious/Pilgrimage,Solo,1,7,Air,Budget Hotel/Hostel,Visa-Free,Online Travel Agency,15,582.1,582.1,70.05,11,Taxi/Ride-share,No,No,Very Satisfied,2,Safe,Severe,Good,Maybe,Multiple Platforms,No,528.9,Favorable,Partial
TRP0000009,2023,11,Autumn (Sep-Nov),India,UAE,Medical Tourism,Couple,1,10,Road,Airbnb/Vacation Rental,Embassy Visa,Online Travel Agency,36,1322.52,1322.52,41.01,10,Public Transport,No,Yes,Very Satisfied,5,Neutral,Moderate,Good,Definitely,Multiple Platforms,No,77.5,Neutral,Partial
TRP0000010,2024,9,Autumn (Sep-Nov),Pakistan,New Zealand,Cultural Exchange,Group Tour,13,19,Air,3-Star Hotel,Visa-Free,Mobile App,99,495.76,6444.88,35.7,6,Rental Car,Yes,No,Dissatisfied,1,Safe,Moderate,Poor,Definitely,Instagram,Partially,2053.8,Neutral,None
